folder,frame,caption
L01_V003,058.jpg,a sence in a restaurant with a man signing a paper. there are people that are sitting at a table with a paper
L01_V003,059.jpg,a sence in a mall with a dog and a man. there are people standing in a mall with a dog
L01_V003,060.jpg,a sence in a white shirt is standing in front of a sign. there are a lot of people that are watching a tv show
L01_V003,061.jpg,a sence in a mall with a group of people holding a dog. there are many people standing in a mall with a dog
L01_V003,062.jpg,a sence in a crowd of people holding a cat. there are two women holding a cat in their hands
L01_V003,063.jpg,a sence in a mall with a crowd of people standing around. there are many people standing in a mall with bags of food
L01_V003,064.jpg,a sence in a restaurant with a cat and a woman. there are people sitting at a table with a cat in a restaurant
L01_V003,065.jpg,a sence in a mall with a cat and a woman holding a cat. there are two women holding a cat in a store
L01_V003,066.jpg,a sence in a white shirt and tie holding a football. there are a lot of people in this picture that are watching tv
L01_V003,067.jpg,a sence in a white shirt and tie standing in front of a city. there are a lot of people in this picture that are watching the news
L01_V003,068.jpg,a sence in a white shirt and tie is holding a red book. there are a lot of people in this picture that are watching tv
L01_V003,069.jpg,a sence in a large room with a stage and a crowd of people. there are people standing on a stage with a lot of smoke
L01_V003,070.jpg,a sence in a news program is shown with a crane. there are cranes that are lifting cargo from a container ship
L01_V003,071.jpg,a sence in a video clip of a cargo dock with a truck and a truck. there are many containers on the road near the water
L01_V003,072.jpg,a sence in a port with a large ship and a crane. there are a lot of ships that are docked in the water
L01_V003,073.jpg,a sence in a large room with a stage and a crowd of people. there are many people sitting in chairs in a room
L01_V003,074.jpg,a sence in a photo with a group of people standing behind a table. there are four men and two women standing behind a table
L01_V003,075.jpg,a sence in a suit holding a red book in his hands. there are two men in suits holding a red book
L01_V003,076.jpg,a sence in a video posted by a man on a boat. there are many cargo containers on the road near the water
L01_V003,077.jpg,a sence in a large room with a lot of people. there are many people sitting in a large room together
L01_V003,078.jpg,"a sence in a blue sky with a sign that says, the announcement ceremony of the my. there are a lot of people standing in front of a sign"
L01_V003,079.jpg,a sence in a port with a crane and a truck. there are a lot of cargo being loaded on a ship
L01_V003,080.jpg,a sence in a video clip of a bridge over a river. there are many boats that are going down the river
L01_V003,081.jpg,a sence in a city with a lot of cars and trucks. there are many vehicles parked on the side of the road
L01_V003,082.jpg,a sence in a port with a large ship and a crane. there are many ships docked at the dock with a crane
L01_V003,083.jpg,a sence in a white dress is holding a tablet and a picture of a city. there are many potted plants in the middle of a city
L01_V003,084.jpg,a sence in a white dress is holding a tablet. there are a lot of people that are watching a tv
L01_V003,085.jpg,a sence in a white dress is holding a bag and a picture of a woman in a. there are two women in a field with plants in pots
L01_V003,086.jpg,a sence in a field of plants with lights on. there are many potted plants in a field with lights on
L01_V003,087.jpg,a sence in a greenhouse with a lot of plants in the pots. there are many potted plants in a large greenhouse with a man kneeling down
L01_V003,088.jpg,a sence in a blue jacket is standing in a field. there are a lot of people in the field with lights
L01_V003,089.jpg,a sence in a field of potted plants with lights on. there are many potted plants in a field with lights on
L01_V003,090.jpg,a sence in a dark room with a lot of light coming from the ceiling. there are many lights that are on a wall in the dark
L01_V003,091.jpg,a sence in a blue jacket is standing in front of a field. there are a lot of people that are standing in the grass
L01_V003,092.jpg,a sence in a garden with potted plants and lights. there are many potted plants in a large area with lights
L01_V003,093.jpg,a sence in a field of plants with lights on. there are many potted plants in a field at night
L01_V003,094.jpg,a sence in a field with a building and lights. there are many lights that are on the side of a building
L01_V003,095.jpg,a sence in a field of lettuce plants at night. there are many plants in the blue pots in the field
L01_V003,096.jpg,a sence in a pink shirt and a white hat. there are a lot of people in the area that are wearing hats
L01_V003,097.jpg,a sence in a dark area with a light on a pole. there are a lot of lights that are on the pole
L01_V003,098.jpg,a sence in a garden with a lot of plants in the middle. there are many potted plants in a row in the dark
L01_V003,099.jpg,a sence in a garden with a watering hose and a lot of lettuce. there are many potted plants being watered by a man
L01_V003,100.jpg,a sence in a red tie is standing in front of a red background. there are a lot of red and white stripes on this red background
L01_V003,101.jpg,a sence in a red and white striped background with a red clock. there are two red and white clocks on a red and white wall
L01_V003,102.jpg,a sence in a warehouse with boxes of food and people. there are many people standing around a large room with boxes
L01_V003,103.jpg,a sence in a group of police officers are looking at a box. there are many people in uniform standing around a box
L01_V003,104.jpg,a sence in a city at night with a police officer and a fire hydrant. there are many cars that are stopped at the side of the road
L01_V003,105.jpg,a sence in a yellow shirt is looking at a cell phone. there are a lot of people that are looking at their cell phones
L01_V003,106.jpg,"a sence iniciacion do g - ray, a tv. there are a lot of logos on this red and white background"
L01_V003,107.jpg,a sence in a white shirt and tie is standing in front of a news desk. there are a lot of people in this picture that are watching a news program
L01_V003,108.jpg,a sence in a white shirt and tie holding a football. there are two men in a news program with a city in the background
L01_V003,109.jpg,a sence in a white shirt and tie is holding a football. there are a lot of people in this picture that are watching the news
L01_V003,110.jpg,a sence in a car accident in the philippines. there are two cars that are parked next to each other
L01_V003,111.jpg,a sence in a car with a broken windshield is seen in this image. there are two cars that are parked on the side of the road
L01_V003,112.jpg,a sence in a car accident on the side of the road. there are two cars that are parked on the side of the road
L01_V003,113.jpg,"a sence in china, a car that was hit by a truck. there are two cars that are parked on the side of the road"
L01_V003,114.jpg,a sence in a white dress holding a red book. there are a lot of news on this asian news program
L01_V003,115.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to happen
L01_V003,116.jpg,a sence in a white dress holding a red book. there are two asian women in a news program with a city in the background
L01_V003,117.jpg,a sence in a warehouse with boxes of goods and people. there are people standing around a large room with boxes of food
L01_V003,118.jpg,a sence in a warehouse with a group of people standing around. there are people standing around a box in a warehouse
L01_V003,119.jpg,a sence in a pile of pink pills and a knife. there are many pink pills and a knife on a table
L01_V003,120.jpg,a sence in uniform talking to a group of people. there are many people in uniform standing around a table
L01_V003,121.jpg,a sence in uniform is talking to a group of people. there are many people in uniform standing around a table
L01_V003,122.jpg,a sence in a factory with people working on a variety of items. there are people working in a factory with boxes of meat
L01_V003,123.jpg,a sence in a factory with a lot of people working on boxes. there are many people in a room with boxes and boxes
L01_V003,124.jpg,a sence in a factory with a lot of boxes of food. there are many people sitting at a table with boxes of food
L01_V003,125.jpg,a sence in a factory with a woman signing a document. there are two people sitting at a table with a piece of paper
L01_V003,126.jpg,a sence in a green shirt and a woman in a blue shirt. there are people standing around a table with a man in a uniform
L01_V003,127.jpg,a sence in a factory with a lot of people working on some kind of thing. there are people in a factory with a lot of meat
L01_V003,128.jpg,a sence in a classroom with a lot of people sitting at tables. there are many people in a room with many boxes of food
L01_V003,129.jpg,a sence in a warehouse with a fork lift truck and a man in a black shirt. there are two men in a warehouse with a fork lift
L01_V003,130.jpg,a sence in a warehouse loading boxes onto a forklift. there are two men standing in front of a truck with boxes
L01_V003,131.jpg,a sence in a white shirt and tie holding a red book. there are a lot of people in this picture that are watching tv
L01_V003,132.jpg,a sence in a white shirt and tie is holding a red wallet. there are a lot of people in this picture that are watching the news
L01_V003,133.jpg,a sence in a white shirt and tie holding a red ball. there are a lot of people in this picture that are watching tv
L01_V003,134.jpg,a sence in china is trying to get a guy to get on his skateboard. there are people standing on the street and one person is riding a skateboard
L01_V003,135.jpg,a sence in a video posted on the news channel of a man who was riding a motorcycle. there are people standing around a motorcycle and a cat
L01_V003,136.jpg,a sence in a green shirt is standing next to a motorcycle. there are people standing around a motorcycle on the street
L01_V003,137.jpg,a sence in yellow pants is standing next to a man on a motorcycle. there are people standing around a man who is laying on the ground
L01_V003,138.jpg,a sence in a black shirt is being dragged by a police officer. there are people standing around a man who is laying on the ground
L01_V003,139.jpg,a sence in a cap is seen on a motorcycle in this undrecognized image. there are people standing around a motorcycle with a man on it
L01_V003,140.jpg,a sence in a black shirt is being filmed by a police officer. there are two men in uniform are standing around a man on the ground
L01_V003,141.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to be broadcast
L01_V003,142.jpg,"a sence in a white dress is holding a red book. there are a lot of news in this picture, and there is a woman holding a book"
L01_V003,143.jpg,a sence in a green shirt is sitting at a table with a woman. there are two people sitting at a table talking to each other
L01_V003,144.jpg,a sence in a news program on the news. there are two women talking on the news in a room
L01_V003,145.jpg,a sence in a green shirt is talking to a woman. there are two people sitting at a table talking to each other
L01_V003,146.jpg,a sence in a military uniform is sitting at a desk. there are two people sitting at a table talking to each other
L01_V003,147.jpg,a sence in a military uniform sits in a room. there are two men in uniform sitting at a table
L01_V003,148.jpg,a sence in a green uniform sits at a desk with a laptop. there are two men sitting at a table with papers and a laptop
L01_V003,149.jpg,a sence in a green uniform sitting at a desk. there are two men in uniform sitting at a table
L01_V003,150.jpg,a sence in a green shirt sitting at a table with a laptop. there are two men sitting at a table with a man in a uniform
L01_V003,151.jpg,a sence in a green uniform sits at a table. there are two men in uniform sitting at a table
L01_V003,152.jpg,a sence in a green shirt is sitting on the floor. there are two men sitting on the floor in front of a mirror
L01_V003,153.jpg,a sence in a green shirt sitting at a table with a notebook. there are two men sitting at a table with a book
L01_V003,154.jpg,a sence in a green shirt sits at a table with a book. there are two men sitting at a table talking to each other
L01_V003,155.jpg,a sence in a white shirt and tie holding a red book. there are a lot of people in this picture that are watching tv
L01_V003,156.jpg,a sence in a white shirt and tie holding a football. there are a lot of people in this picture that are watching tv
L01_V003,157.jpg,a sence in a room with a tv and a table with people writing. there are three men sitting at a table writing on paper
L01_V003,158.jpg,a sence in a classroom with a man in uniform reading a paper. there are two men in uniform sitting at a table
L01_V003,159.jpg,a sence in a white hat is riding a white scooter. there are two people riding a scooter in a room
L01_V003,160.jpg,a sence in a white shirt is riding a motorcycle. there are two people riding on a motorcycle on the street
L01_V003,161.jpg,a sence in a city at night with a bus passing by. there are cars driving down the street at night time
L01_V003,162.jpg,a sence in a green shirt is writing on a piece of paper. there are a lot of people that are doing something in this picture
L01_V003,163.jpg,a sence in a classroom with a man and two boys writing. there are three men sitting at a table writing on paper
L01_V003,164.jpg,a sence in a meeting room with a group of people sitting at a table. there are many people sitting at a table with cell phones
L01_V003,165.jpg,a sence in a white hat is talking on a cell phone. there are two people that are riding a motorcycle together
L01_V003,166.jpg,a sence in a car is seen in this image. there are two people riding on a motorcycle in a room
L01_V003,167.jpg,a sence in a blurry image of a man riding a motorcycle. there are two people riding motorcycles on the street at night
L01_V003,168.jpg,a sence in a meeting room with a group of men sitting at a table. there are many men sitting at a table with papers and cell phones
L01_V003,169.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to be good
L01_V003,170.jpg,a sence in a news program with a picture of a woman holding a book. there are a lot of news on this day that is going on
L01_V003,171.jpg,a sence in a car is seen in this image. there are two men standing in front of a truck with a man on it
L01_V003,172.jpg,a sence in a city at night with a bus and people. there are people standing on the sidewalk in front of a bus
L01_V003,173.jpg,a sence in a video posted by the police shows a motorcycle that was left on the ground. there are a lot of things that are left on the ground
L01_V003,174.jpg,a sence in a video game shows a man holding a baby. there are people standing in a room with a man holding a baby
L01_V003,175.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to be broadcast
L01_V003,176.jpg,a sence in a white dress is holding a red book. there are a lot of news on this day that is going to be broadcast
L01_V003,177.jpg,a sence in a city at night with a police officer and a fire hydrant. there are many cars that are stopped at the curb of a street
L01_V003,178.jpg,a sence in a yellow shirt is looking at a cell phone. there are two people that are looking at their cell phones
L01_V003,179.jpg,a sence in a police uniform is talking to a man in a car. there are two men in the car talking to each other
L01_V003,180.jpg,a sence in a black shirt is standing in front of a police truck. there are two men standing in front of a police truck
L01_V003,181.jpg,a sence in a green hat is being escorted by a man in a green uniform. there are two men in uniform standing next to a car
L01_V003,182.jpg,a sence in a car with a woman in a hat and a man in a hat. there are two people in the car with a woman in the back seat
L01_V003,183.jpg,a sence in a car with a helmet on and a man in a pink shirt. there are two people in a car with a baby in the back seat
L01_V003,184.jpg,a sence in a green shirt is standing next to a man in a green shirt. there are people standing around a man in a green uniform
L01_V003,185.jpg,a sence in a green uniform is looking at a man in a green uniform. there are two men in green uniforms standing around a man in a green uniform
L01_V003,186.jpg,a sence in a car with a man in a face mask. there are two men in uniform standing next to a car
L01_V003,187.jpg,a sence in a military uniform is being led into a vehicle. there are many people in uniform are getting into a car
L01_V003,188.jpg,a sence in a news studio with a woman standing next to a man. there are two people standing in front of a tv set
L01_V003,189.jpg,a sence in a news studio with a woman standing next to a man. there are two people standing in front of a tv screen
L01_V003,190.jpg,a sence in a news studio with a woman standing next to a man. there are two people standing in front of a tv screen
L01_V003,191.jpg,a sence in a white shirt and tie is holding a football. there are a lot of people in this picture that are watching tv
L01_V003,192.jpg,a sence in a foreign language is shown in this image. there are white flowers in front of a sign that says the location of the station
L01_V003,193.jpg,a sence in a city with people walking down the street. there are people walking down the street in the city
L01_V003,194.jpg,a sence in a classroom with sticky notes and a note pinned to the wall. there are many notes on the wall with a note attached to them
L01_V003,195.jpg,a sence in a city with a lot of people walking around. there are people walking down the street in a city
L01_V003,196.jpg,a sence in a city at night with a lot of traffic. there are many cars on the street at night time
L01_V003,197.jpg,a sence in a city with lots of traffic and a police officer. there are many cars and a police officer on the street
L01_V003,198.jpg,a sence in a city with a lot of people. there are two people standing in a crowded city street
L01_V003,199.jpg,a sence in a blue shirt and a woman in a black coat. there are two people standing in a crowded city street
L01_V003,200.jpg,a sence in a city with a lot of traffic and a lot of lights. there are many cars and trucks on the street at night
L01_V003,201.jpg,a sence in a city at night with a lot of traffic. there are many cars and motorcycles on the street at night
L01_V003,202.jpg,a sence in a city with a sign that says city street. there are a lot of icicles hanging from the street sign
L01_V003,203.jpg,"a sence in the city of tokyo, japan, is a popular place for tourists. there are many people walking on the street in the city"
L01_V003,204.jpg,a sence inflatable green monster in a crowded city street. there are people walking down the street with a giant green monster
L01_V003,205.jpg,a sence in a white shirt and tie holding a red heart. there are a lot of people in this picture that are watching tv
L01_V003,206.jpg,a sence in a white shirt and tie holding a red book. there are a lot of people in this picture that are watching the news
L01_V003,207.jpg,a sence in a car is seen in a blurry image. there are a lot of cars that are parked in the street
L01_V003,208.jpg,"a sence in china, a car is parked in a parking lot. there are many cars parked in a parking lot with a dog in the back"
L01_V003,209.jpg,a sence in a suit is getting out of a car. there are many cars parked in the parking lot behind the man
L01_V003,210.jpg,a sence in a suit walking down a street next to a car. there are a lot of people walking around in the street
L01_V003,211.jpg,a sence in a suit is talking to a woman in a suit. there are two people standing next to each other in front of a fence
L01_V003,212.jpg,a sence in a crowd of people taking pictures of a man. there are many people standing around a man taking pictures
L01_V003,213.jpg,a sence in a black and white sweater sitting on a pink chair. there are a lot of people that are sitting on the floor
L01_V003,214.jpg,a sence in a black shirt and black pants is holding a camera. there are people walking through a lobby with cameras on their laps
L01_V003,215.jpg,a sence in a white dress holding a red book. there are two women standing in front of a tv screen
L01_V003,216.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to be good
L01_V003,217.jpg,a sence in a white dress holding a red book. there are a lot of news on this day that is going to be broadcast
L01_V003,218.jpg,"a sence in china, china, china, and china are on the brink of the nuclear. there are smoke coming out of a factory in the distance"
L01_V003,219.jpg,"a sence in china, a chinese flag is flying high above a city. there are many people on the top of a building with a red star"
L01_V003,220.jpg,"a sence in front of a building with a sign that says,. there are people standing outside of a building with a sign on it"
L01_V003,221.jpg,a sence in a city with a pink building and a smokestack. there are cars parked in front of a pink building with a smokestack
L01_V003,222.jpg,a sence in a train station with a large group of people. there are many people sitting in a large room together
L01_V003,223.jpg,a sence in a suit and tie speaking into a microphone. there are a lot of people in this picture that are talking
L01_V003,224.jpg,a sence in a crowd of people sitting in a stadium. there are many people sitting in a crowd watching something
L01_V003,225.jpg,a sence in a suit and tie speaking into a microphone. there are a lot of people in this picture that are talking
L01_V003,226.jpg,a sence in a crowd of people sitting and standing in a room. there are many people sitting in a room together and one is talking on a cell phone
L01_V003,227.jpg,a sence in a news studio with a camera and a video camera. there are many cameras that are being used to record a news event
L01_V003,228.jpg,a sence in a brick tower with a clock on it. there are two clocks on the side of a brick building
L01_V003,229.jpg,a sence in a white shirt and tie holding a red ball. there are a lot of people in this picture that are watching the news
L01_V003,230.jpg,a sence in a white shirt and tie is standing in front of a cityscape. there are a lot of people in this picture that are watching the news
L01_V003,231.jpg,a sence in a white shirt and tie standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V003,232.jpg,a sence in a blue jacket is holding a bag of food. there are two people that are standing in a room with gloves
L01_V003,233.jpg,a sence in a bathroom with a pink towel and a pink towel. there are a lot of things that are in the bathroom
L01_V003,234.jpg,a sence in a basket with a cat in it. there are two people that are petting a cat in a basket
L01_V003,235.jpg,a sence in a blue jacket holds a tiger cub in a cage. there are two people in a room with a tiger in their hands
L01_V003,236.jpg,a sence in a hospital room holding a tiger cub. there are two people in a room with a tiger in their hands
L01_V003,237.jpg,a sence in a mask and gloves holds a puppy in a cage. there are two women in black shirts holding a small dog
L01_V003,238.jpg,a sence in a red shirt is holding a dog in a cage. there are two people in a room with a dog in a cage
L01_V003,239.jpg,a sence in a black and white photo of a tiger. there are two tigers walking in a zoo enclosure together
L01_V003,240.jpg,a sence in a mask and gloves holds a tiger cub. there are two women in a room with a cat and a dog
L01_V003,241.jpg,a sence in a red hoodie holds a tiger cub in a garage. there are a lot of cats that are being held by a woman
L01_V003,242.jpg,a sence in a white shirt and tie is standing in front of a tv screen. there are a lot of people that are on this news set
L01_V003,243.jpg,a sence in a white shirt and tie is holding a wooden box. there are a lot of cheerleaders in this picture
L01_V003,244.jpg,a sence in a white shirt and tie holding a book and a red flag. there are a lot of people in this picture that are watching the news
L01_V003,245.jpg,a sence in uniform stands in front of a crowd of people. there are many soldiers in uniform standing in a line
L01_V003,246.jpg,a sence in a yellow and white uniform is performing a dance. there are many cheerleaders in white and yellow uniforms on a stage
L01_V003,247.jpg,a sence in a stadium with a large crowd of people. there are many people in the audience watching a sporting event
L01_V003,248.jpg,a sence in a stadium with a flag flying in the air. there are many people standing in a stadium watching a flag fly
L01_V003,249.jpg,a sence in a white dress holding a flag and a woman in a white dress. there are many people that are holding flags and walking
L01_V003,250.jpg,a sence in a white dress holding a flag and a red flag. there are many people in a parade with flags and mascots
L01_V003,251.jpg,a sence in a stadium with a large screen displaying a group of people. there are many people standing on a stage with a large screen
L01_V003,252.jpg,a sence in a stadium with a large circular display of people. there are many people skating on a large ice rink
L01_V003,253.jpg,a sence in a stadium with a large crowd of people. there are many people in the stadium watching a game
L01_V003,254.jpg,a sence in a stadium with a large screen displaying a performance. there are many people on stage with flags and flags
L01_V003,255.jpg,a sence in a stadium with a large screen showing a man on a stage. there are a lot of people watching a television show in a stadium
L01_V003,256.jpg,a sence in a stadium with a stage and a fire. there are a lot of people on stage with a fire
L01_V003,257.jpg,a sence in a box with a fire burning inside of it. there are a lot of fire in the dark with a black background
L01_V003,258.jpg,a sence in a large room with a lot of confetti. there are many people standing around a large circle on a stage
L01_V003,259.jpg,a sence in a stadium with a large crowd of people watching. there are many people standing in a large room with a stage
L01_V003,260.jpg,a sence in a news studio with a city in the background. there are a woman standing in front of a tv set
L01_V003,261.jpg,a sence in a news studio with a man and a woman. there are two people standing on a news set with a city in the background
L01_V003,262.jpg,a sence in a news studio with a man and a woman. there are two people standing on a news set with a city in the background
L01_V003,263.jpg,a sence in a news studio with a man and a woman. there are two people standing on a news set with a city in the background
L01_V003,264.jpg,a sence in front of a podium with israeli flags. there are many israeli flags behind a man at a podium
L01_V003,265.jpg,"a sence in front of israeli flags, a man in a black shirt and a man in. there are two men standing behind a podium with israeli flags"
L01_V003,266.jpg,"a sence in front of israeli flags, a man stands at a podium. there are two flags behind the man"
L01_V003,267.jpg,a sence in front of a podium with israeli flags and a picture of a priest. there are three men sitting at a table with flags behind them
L01_V003,268.jpg,a sence in a black shirt is speaking into a microphone. there are two men standing behind a podium with flags behind them
L01_V003,269.jpg,a sence in a black shirt is speaking into a microphone. there are two men standing behind a podium with israeli flags
L01_V003,270.jpg,a sence in china china china's new nuclear power plant. there are many vehicles that are driving down the road
L01_V003,271.jpg,"a sence in china, a truck is driving down a mountain road. there are trucks driving down a mountain road with a mountain in the background"
L01_V003,272.jpg,"a sence in china, a train is seen in this aerial image. there are many tanks that are on the ground in the dirt"
L01_V003,273.jpg,a sence in video of a storm in the middle of a city. there are many buildings in the background with a lot of smoke
L01_V003,274.jpg,a sence in a fire with a man standing in front of it. there are people standing in front of a fire that is burning
L01_V003,275.jpg,a sence in a dark room with a fire and a person on a motorcycle. there are two men on a motorcycle with a fire in the background
L01_V003,276.jpg,a sence in a fire department uniform is on the scene. there are a lot of people that are standing around a fire
L01_V003,277.jpg,a sence in a dark room with a fountain of water and people. there are many people watching a firework display in the dark
L01_V003,278.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V003,279.jpg,a sence in a news studio with a man and a woman. there are two people sitting at a table with a tv screen behind them
L01_V003,280.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V003,281.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a tv set
