folder,frame,caption
L01_V001,079.jpg,a sence in a red and white striped background with a knife. there are a lot of blood on the floor and a knife
L01_V001,080.jpg,a sence in a village with a lot of people and a red umbrella. there are many people standing outside of a building with an umbrella
L01_V001,081.jpg,a sence in a city with a lot of people on the street. there are many people on the street in the city
L01_V001,082.jpg,a sence in a group of people standing around a pile of boxes. there are many people standing outside of a building with boxes of food
L01_V001,083.jpg,a sence in a blue shirt and white gloves is picking up trash. there are a lot of trash in the trash bag
L01_V001,084.jpg,a sence in a shirt and tie holding a tablet computer. there are a lot of people in this picture that are wearing ties
L01_V001,085.jpg,a sence in a shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V001,086.jpg,a sence in a shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V001,087.jpg,a sence in a shirt and tie standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V001,088.jpg,a sence in a city with a lot of people on motorcycles. there are many people on motorcycles on the street in the city
L01_V001,089.jpg,a sence in a city with a lot of people on motorcycles. there are many people riding motorcycles down the street together
L01_V001,090.jpg,a sence in a foreign country with many people on motorcycles. there are many people on motorcycles and motorcycles on the street
L01_V001,091.jpg,a sence in a city street with a lot of motorcycles and cars. there are many motorcycles and cars on the street in this picture
L01_V001,092.jpg,a sence in a white shirt and blue skirt holding a red book. there are a lot of news on this tv with a woman holding a book
L01_V001,093.jpg,a sence in a news program with a picture of a woman holding a book. there are a lot of news on this asian news program
L01_V001,094.jpg,a sence in a jail cell with a man sitting at a table. there are two men sitting at a table in a jail cell
L01_V001,095.jpg,a sence in a blue shirt is sitting in a room. there are two men that are talking to each other
L01_V001,096.jpg,a sence in a blue shirt is holding a hand. there are two hands holding a piece of paper with a picture of a person holding it
L01_V001,097.jpg,a sence in a blue shirt is sitting at a table with a man in a green shirt. there are two men sitting at a table with papers and a paper
L01_V001,098.jpg,a sence in a blue shirt writing on a piece of paper. there are a lot of people in this room that are writing
L01_V001,099.jpg,a sence in a green shirt is sitting at a table. there are two men sitting at a table talking to each other
L01_V001,100.jpg,a sence in a blue shirt is typing on a laptop. there are two hands that are holding a laptop computer
L01_V001,101.jpg,a sence in a green shirt is sitting at a table with a man in a blue shirt. there are two men sitting at a table with a drawing on it
L01_V001,102.jpg,a sence in a shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V001,103.jpg,a sence in a shirt and tie is standing in front of a city. there are a lot of people in this picture that are watching tv
L01_V001,104.jpg,a sence in a red van with two men in yellow vests. there are two men in red hats standing in a van
L01_V001,105.jpg,a sence in a news program shows a man holding a stack of packages. there are many bags of food that are on the table
L01_V001,106.jpg,a sence in a hand holding a cd with a picture of a city. there are a person holding a cd in their hand
L01_V001,107.jpg,a sence in a tv ad for a chinese new year celebration. there are fireworks and fireworks balls in the sky above a city
L01_V001,108.jpg,a sence in a supermarket store with a large pile of candy. there are many packages of candy stacked on top of each other
L01_V001,109.jpg,a sence in a thai language is shown on a tv screen. there are a lot of fireworks in the sky above a city
L01_V001,110.jpg,a sence in a red van with two men in yellow vests. there are two men in yellow vests and red hats standing in a van
L01_V001,111.jpg,a sence in a news program with a picture of a woman holding a red purse. there are a lot of news on this day that is very good
L01_V001,112.jpg,a sence in a news program with a picture of a woman holding a book. there are a lot of news on this news set
L01_V001,113.jpg,a sence in a video clip of a group of people standing outside a building. there are people standing outside of a building with boxes of food
L01_V001,114.jpg,a sence in a room full of boxes and boxes of food. there are many boxes of food that are sitting on the ground
L01_V001,115.jpg,a sence in a glove holds a comb in a plastic container. there are two hands holding a comb and a bag of food
L01_V001,116.jpg,a sence in a box full of bags of food. there are many boxes of food that are sitting in the grass
L01_V001,117.jpg,a sence in a box of meat wrapped in plastic. there are many bags of meat in a box on the floor
L01_V001,118.jpg,a sence in a gloved hand holds a wrapped meat. there are two packages of meat being held by a person
L01_V001,119.jpg,a sence in a blue shirt and white gloves is putting food in a bag. there are a lot of people that are in the woods
L01_V001,120.jpg,a sence in a box with a blue bag of meat. there are a lot of meat in a box with plastic bags
L01_V001,121.jpg,a sence in a yellow shirt and blue pants is carrying a box of water. there are many people standing around a truck with bags of food
L01_V001,122.jpg,a sence in a red and white striped background with a knife. there are a lot of red and white items on a red and white background
L01_V001,123.jpg,a sence in a kitchen preparing food for a crowd. there are two men in aprons preparing food in a kitchen
L01_V001,124.jpg,a sence in a restaurant is making a dish with a fork. there are a lot of food being prepared on the table
L01_V001,125.jpg,a sence in a black suit is performing a dance. there are two men in a dance pose on the stage
L01_V001,126.jpg,a sence in a blue shirt and tie is standing in front of a news desk. there are a lot of people in this picture that are on the news
L01_V001,127.jpg,a sence in a news anchor with a city in the background. there are a lot of people in this picture that are on the news
L01_V001,128.jpg,a sence in a news program with a city in the background. there are a lot of people in this picture that are watching tv
L01_V001,129.jpg,a sence in a city with a lot of people walking around. there are people walking down the street in front of a building
L01_V001,130.jpg,a sence in a city with a lot of people walking around. there are many ambulances that are parked on the street
L01_V001,131.jpg,a sence in a newsreel shows a police car with a blue light on top. there are a lot of police cars parked in the street
L01_V001,132.jpg,a sence in a yellow vest is talking to a group of people. there are many people standing on the street in front of a police car
L01_V001,133.jpg,a sence in a yellow vest and hard hat walking down a sidewalk. there are many construction workers walking down the sidewalk
L01_V001,134.jpg,a sence in a yellow hard hat is talking to a group of men. there are several men in hard hats standing outside of a building
L01_V001,135.jpg,a sence in a newsreel shows a tall building under construction. there are cranes that are standing on the side of a building
L01_V001,136.jpg,a sence in a city with a police car and a police officer. there are two police officers standing in front of a police car
L01_V001,137.jpg,a sence in a city with a billboard on the side of it. there are people walking on the sidewalk in front of a large billboard
L01_V001,138.jpg,a sence in a news studio with a woman standing next to a tv. there are two people standing in front of a tv set
L01_V001,139.jpg,a sence in a news studio with a woman standing next to a tv. there are two people standing in front of a tv set
L01_V001,140.jpg,a sence in a news studio with a woman in a blue skirt. there are two people standing in front of a tv set
L01_V001,141.jpg,a sence in a news studio with a woman standing next to a tv. there are two people standing in front of a tv set
L01_V001,142.jpg,a sence in a news studio with a woman standing next to a tv. there are two people standing in front of a tv set
L01_V001,143.jpg,a sence in a news studio with a woman standing next to a man. there are two people standing in front of a tv screen
L01_V001,144.jpg,a sence in a field with a man walking across it. there are two pictures of a man walking in a field
L01_V001,145.jpg,a sence in a room with a cat and a dog. there are two dogs that are sitting in a chair together
L01_V001,146.jpg,a sence in a dark room with a person standing next to a door. there are two people that are standing in front of a door
L01_V001,147.jpg,a sence in a black suit holding a gun in front of a red door. there are a man holding a gun in front of a red door
L01_V001,148.jpg,a sence in a dark room with a cell phone in his hand. there are a lot of people that are watching a cartoon
L01_V001,149.jpg,a sence in a black shirt and glasses is talking on a video call. there are two women talking to each other in a video
L01_V001,150.jpg,"a sence in a news program, a woman with glasses on. there are a lot of people that are talking to each other"
L01_V001,151.jpg,a sence in a video call with a woman with glasses. there are a woman with glasses on talking to someone
L01_V001,152.jpg,a sence in a video clip of a house fire in a residential area. there are many houses that are in the middle of a city
L01_V001,153.jpg,a sence in a box with a picture of a baby on it. there are a couple of books sitting on the ground
L01_V001,154.jpg,a sence in the dark with a hand holding a persons hand. there are two hands holding each other in the dark
L01_V001,155.jpg,a sence in a dark room with a group of people. there are two boys sitting on the ground in front of a group of people
L01_V001,156.jpg,a sence in a white shirt and blue skirt holding a folder. there are a lot of news on this tv with a woman in a blue skirt
L01_V001,157.jpg,a sence in a white shirt and blue skirt holding a folder. there are a lot of news on this tv with a woman in a blue skirt
L01_V001,158.jpg,a sence in a suit and tie walking down a red carpeted staircase. there are many people walking up the stairs of a building
L01_V001,159.jpg,a sence in a news program is shown with a group of men. there are many people standing outside of a building with a red carpet
L01_V001,160.jpg,a sence in a suit and tie standing at a podium with a microphone. there are many people standing on the steps of a building
L01_V001,161.jpg,a sence in a suit and tie standing at a podium with a crowd of people. there are many people standing on the steps of a building
L01_V001,162.jpg,a sence in a suit and tie standing at a podium with a crowd of people. there are many people standing on the steps of a building
L01_V001,163.jpg,a sence in a video posted on the tv shows a man falling down a mountain. there are a lot of snow on the ground and a person is standing on the snow
L01_V001,164.jpg,a sence in a video clip of a man falling off a mountain. there are a lot of snow on the ground and a person is falling off of the mountain
L01_V001,165.jpg,a sence in the ocean with a boat in the background. there are two dolphins swimming in the ocean together
L01_V001,166.jpg,a sence in a video clip of a river running through a forest. there are a lot of water flowing down the river in the woods
L01_V001,167.jpg,a sence in a mountain with a glacier in the background. there are a lot of snow on the mountain and a blue ice
L01_V001,168.jpg,a sence in the mountains with a stream of water. there are rocks and water in the river and a mountain
L01_V001,169.jpg,a sence in the mountains is a cave with a stream running through it. there are rocks and water in the river and a man is standing on the rocks
L01_V001,170.jpg,a sence in a mountain stream with a man on a motorcycle. there are a lot of rocks and water in the river
L01_V001,171.jpg,a sence in the mountains with a river running through it. there are a lot of snow on the ground and a river
L01_V001,172.jpg,a sence in a shirt and tie is holding a cell phone. there are a lot of people in this picture that are watching tv
L01_V001,173.jpg,a sence in a shirt and tie is standing in front of a tv screen. there are a lot of people in this picture that are watching tv
L01_V001,174.jpg,a sence in a shirt and tie is holding a cell phone. there are a lot of people in this picture that are watching tv
L01_V001,175.jpg,a sence in a blue uniform is standing outside of a food truck. there are people standing outside of a food truck with a man standing on the back
L01_V001,176.jpg,a sence in a room with a lot of barrels and a man. there are two men standing in front of a building with barrels
L01_V001,177.jpg,a sence in a restaurant serving food to a woman. there are people that are making food in a bowl
L01_V001,178.jpg,a sence in a mask and apron is preparing food in a kitchen. there are two people in aprons and masks preparing food
L01_V001,179.jpg,a sence in a green shirt is holding a cell phone. there are a lot of people that are looking at their cell phones
L01_V001,180.jpg,a sence in a pink shirt is handing food to a child. there are many people standing around a table with food
L01_V001,181.jpg,a sence in a cap is talking to a child. there are a lot of people that are in a room
L01_V001,182.jpg,a sence in a group of children eating food from a bowl. there are many children eating food together in a group
L01_V001,183.jpg,a sence in a green uniform is dancing with other children. there are many children in green uniforms dancing together
L01_V001,184.jpg,a sence in a group of children holding oranges in their hands. there are many children that are holding something in their hands
L01_V001,185.jpg,a sence in a blue shirt and tie is talking to a reporter. there are a lot of people in the picture
L01_V001,186.jpg,a sence in a group of men in uniform standing in a line. there are many people in uniform standing in a line
L01_V001,187.jpg,a sence in a white shirt and tie is dancing with other people. there are many people in uniform walking together in a line
L01_V001,188.jpg,a sence in a white shirt and blue skirt holding a red book. there are a lot of news on this tv with a woman holding a book
L01_V001,189.jpg,a sence in a news program with a picture of a woman holding a knife. there are two people that are standing in front of a tv
L01_V001,190.jpg,a sence in a white shirt and blue pants is holding a red purse. there are two pictures of a woman holding a red purse
L01_V001,191.jpg,a sence in a news program is cutting a piece of cheese. there are people that are cutting a large piece of cheese
L01_V001,192.jpg,a sence in a restaurant with a sign that says champions du monde de la racle. there are people sitting at tables in a restaurant eating food
L01_V001,193.jpg,a sence in a pot of boiling water with a spoon. there are a lot of food being cooked in a pot
L01_V001,194.jpg,a sence in a restaurant with a man in glasses and a black jacket. there are people sitting at tables in a restaurant eating food
L01_V001,195.jpg,a sence in a kitchen with a large pot of food. there are two men standing in a kitchen holding a bowl
L01_V001,196.jpg,a sence in a box with a man holding a toothbrush. there are a man that is putting something in a box
L01_V001,197.jpg,a sence in a restaurant with a man wearing a baseball cap. there are a lot of people in the room watching a man in a baseball cap
L01_V001,198.jpg,a sence in a restaurant with a plate of food and a fork. there are a lot of scissors and a plate on the table
L01_V001,199.jpg,a sence in a group of men sitting at a table with cell phones. there are many people sitting at a table with cell phones
L01_V001,200.jpg,a sence in a white shirt is writing on a piece of paper. there are many people sitting at a table with plates of food
L01_V001,201.jpg,a sence in a black shirt is looking at a piece of cheese. there are two men standing next to each other at a table
L01_V001,202.jpg,a sence in a tent with a group of people standing around. there are two men in cowboy hats and vests playing a game
L01_V001,203.jpg,a sence in a news program with a picture of a woman holding a purse. there are a woman in a white shirt and blue skirt holding a brown purse
L01_V001,204.jpg,a sence in a white shirt and blue skirt is holding a book. there are two people standing in front of a tv screen
L01_V001,205.jpg,a sence in a dance show with a man and a woman. there are many people that are dancing together in a dance
L01_V001,206.jpg,a sence in a brown suit is dancing on stage. there are two people that are performing a dance on the stage
L01_V001,207.jpg,a sence in a red skirt is dancing with other dancers. there are many people in a dance class performing a dance
L01_V001,208.jpg,a sence in a green shirt is talking to a reporter. there are a lot of people in this picture that are talking
L01_V001,209.jpg,a sence in a dance class with a man in a black shirt. there are a lot of people that are doing something in the room
L01_V001,210.jpg,a sence in a dark room with a stage and a stage curtain. there are people standing on a stage with a light on
L01_V001,211.jpg,a sence in a black suit is holding a red bag. there are two people that are performing on stage together
L01_V001,212.jpg,a sence in a black suit is dancing on a stage. there are a lot of people that are doing something on the stage
L01_V001,213.jpg,a sence in a red dress and a man in a black suit. there are two people that are standing on a stage
L01_V001,214.jpg,a sence in a black suit and green pants is dancing. there are many people on the stage performing a dance
L01_V001,215.jpg,a sence in a tie and shirt is holding a tablet. there are a lot of people that are on this news set
L01_V001,216.jpg,a sence in a tie and shirt is standing in front of a tv. there are two men standing in front of a tv screen
L01_V001,217.jpg,a sence in a news program with a group of people. there are a lot of people standing in front of a tv
L01_V001,218.jpg,a sence in a tie and a shirt is on a news set. there are two people on a news program with a picture of a woman
L01_V001,219.jpg,a sence in a suit speaking on a news program. there are a lot of people that are watching a man in a suit
L01_V001,220.jpg,a sence in a suit speaking at a podium with a microphone. there are a lot of people that are watching a man speak
L01_V001,221.jpg,a sence in a crowd of people watching a soccer game. there are many people standing together in a crowd watching a soccer game
L01_V001,222.jpg,a sence in a red shirt hugs a woman in a black suit. there are two people hugging each other on a tv screen
L01_V001,223.jpg,a sence in a red shirt is talking to a woman in a red shirt. there are two women and a man in red jerseys talking
L01_V001,224.jpg,a sence in front of a building with a group of people holding signs. there are many people standing outside of a building holding signs
L01_V001,225.jpg,a sence in a crowd of people holding signs and talking. there are many people holding signs and standing in a crowd
L01_V001,226.jpg,a sence in a pink shirt kicking a soccer ball on a field. there are two women playing soccer on a field with a referee
L01_V001,227.jpg,a sence in a soccer game is playing with a ball. there are many girls playing soccer on the field together
L01_V001,228.jpg,a sence in a soccer game is playing with a soccer ball. there are many girls playing soccer on the field together
L01_V001,229.jpg,a sence in a tie and shirt is holding a tablet. there are a lot of people that are on the news
L01_V001,230.jpg,a sence in a news program with a picture of a man in a tie. there are a lot of people in this picture that are on the news
L01_V001,231.jpg,a sence in a news program with a picture of a boat in the water. there are a lot of people in the picture and a man is holding a clipboard
L01_V001,232.jpg,a sence in a news program with a man in a tie. there are two men standing in front of a tv screen
L01_V001,233.jpg,a sence in the middle of a large body of water. there are two boats that are in the water with one boat in the water
L01_V001,234.jpg,a sence in a video clip of a group of sailboats in the ocean. there are many sailboats in the water on a cloudy day
L01_V001,235.jpg,a sence in the middle of a large body of water. there are two boats in the water with a boat in the background
L01_V001,236.jpg,a sence in a boat in the middle of a large body of water. there are two boats in the water with a man on the boat
L01_V001,237.jpg,a sence in the middle of the ocean with two boats in the background. there are two boats that are in the water with sails
L01_V001,238.jpg,a sence in the middle of the ocean with a sailboat. there are two boats in the water with a sail on it
L01_V001,239.jpg,a sence in a video clip of a sailboat racing in the ocean. there are two boats that are in the water with one boat in the water
L01_V001,240.jpg,a sence in the ocean with a boat and a helicopter. there are many boats in the water with one boat in the water
L01_V001,241.jpg,a sence in the middle of the ocean with a sailboat. there are two boats in the water with one boat in the middle
L01_V001,242.jpg,a sence in a boat in the water with a sail. there are two boats that are racing in the water
L01_V001,243.jpg,a sence in a news studio with a city in the background. there are a woman standing in front of a news set
L01_V001,244.jpg,a sence in a news studio with a city in the background. there are two men sitting at a desk with a city in the background
L01_V001,245.jpg,a sence in a news studio with a man and a woman. there are two men standing on a news set with a city in the background
L01_V001,246.jpg,a sence in china has been caught by a plane that was flying over the city. there are many lights in the sky above a city at night
L01_V001,247.jpg,"a sence in the city of aleppo, syria, on fire. there are many buildings that are in the dark with a red light"
L01_V001,248.jpg,a sence in a suit and tie stands at a podium with a flag. there are two men standing at a podium with flags behind them
L01_V001,249.jpg,a sence in a suit and tie stands at a podium with an american flag. there are two men standing at a podium with flags behind them
L01_V001,250.jpg,a sence in a suit and tie stands at a podium with a microphone. there are two men in suits and ties standing at a podium
L01_V001,251.jpg,a sence in a suit and tie stands at a podium with an american flag. there are two men standing at a podium with flags behind them
L01_V001,252.jpg,"a sence in a white shirt and blue skirt holding a red book. there are a lot of people in the picture, and there is a woman holding a book"
L01_V001,253.jpg,a sence in a white shirt and blue skirt holding a blue folder. there are a lot of people in the picture
L01_V001,254.jpg,a sence in a suit and tie speaking into a microphone. there are a lot of people in the background watching a man in a suit
L01_V001,255.jpg,a sence in a suit and tie is on a news program. there are a lot of news on this show that is very interesting
L01_V001,256.jpg,a sence in a black and white polka dot dress sitting at a table. there are a lot of people sitting at a table with a microphone
L01_V001,257.jpg,a sence in a news program with a woman in a polka dot dress. there are a lot of people that are talking on the news
L01_V001,258.jpg,a sence in a video clip of a plane landing on a runway. there are a lot of planes that are on the runway
L01_V001,259.jpg,a sence in a video posted on the tv shows a building with a broken door. there are two air conditioning units in the middle of a building
L01_V001,260.jpg,a sence in a news program is shown with a sign. there are many people walking in front of a terminal
L01_V001,261.jpg,"a sence in china, a man is walking outside of a building. there are people walking outside of a large building with a sign"
L01_V001,262.jpg,a sence in a mall with people walking around and a man in a suit. there are many people walking in a large building
L01_V001,263.jpg,a sence in a black shirt is standing in a hallway. there are two people standing in a room with a glass door
L01_V001,264.jpg,a sence in a black hoodie is seen in this image. there are two men in the bathroom one is holding a tennis ball
L01_V001,265.jpg,a sence in a yellow jacket is standing in a bathroom. there are two men standing in a bathroom with a toilet
L01_V001,266.jpg,a sence in a brown shirt and black pants is standing in a bathroom. there are two men standing in a bathroom with a green sign
L01_V001,267.jpg,a sence in a police car is seen in this image. there are two police officers standing in front of a police car
L01_V001,268.jpg,a sence in a crowd of people is seen on a stage. there are people standing in front of a stage with a flag
L01_V001,269.jpg,a sence in a black shirt is seen dancing in the dark. there are two people that are standing in the street at night
L01_V001,270.jpg,a sence in a news studio with a man and a woman. there are two men standing in front of a news set
L01_V001,271.jpg,a sence in a news studio with a red carpet and a tv screen. there are two people standing on a news set with a city in the background
L01_V001,272.jpg,a sence in a news studio with a tv screen and a man on a television. there are two men standing on a news set with a city in the background
